Solicitation Number,Solicitation Description,Purchasing Agency,Submission Ending Date/Time,Link to Solicitation
5400029017,REAGENT KITS & EQUIPMENT,Materials Mgmt Ofc,04/09/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029017
5400029010,INMATE PSYCHOLOGICAL EVALUATIONS,"Probation, Parole and Pardon",06/17/2030 12:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029010
5400028914,TRANSITIONAL HOUSING_PPP,Materials Mgmt Ofc,07/10/2030 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028914
5400028910,Custom Built Vehicle for Mobile Lab,Tech and Comp Ed,03/19/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028910
5400028904,DOT ITS SOFTWARE,Materials Mgmt Ofc,03/06/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028904
5400028892,BOOKSTORE MANAGEMENT,Materials Mgmt Ofc,03/23/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028892
5400028828,GRANT WRITING AND EVALUATION SERVICES,Mental Health,05/31/2030 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028828
5400028800,NEXT-GENERATION 911,Materials Mgmt Ofc,03/16/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028800
5400028782,UEDC FAIR FOREST HVAC REPLACEMENT,Juvenile Justice,03/04/2026 04:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028782
5400028678,Unclaimed Property Identity Verification,Materials Mgmt Ofc,03/20/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028678
5400028664,AMERICAN SIGN LANGUAGE (ASL),Materials Mgmt Ofc,11/12/2030 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028664
5400028661,STC AUDIO VISUAL PRODUCTS AND SERVICES,Materials Mgmt Ofc,05/03/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028661
5400028654,PPDA MANAGED IT SUPPORT,Materials Mgmt Ofc,03/23/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028654
5400028536,STC MARKETING SERVICES,Materials Mgmt Ofc,12/06/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028536
5400028529,FIXED PRICE BID --FOR HIRE OBSERVER,Natural Resources,07/01/2028 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028529
5400028488,STC TEMPORARY PERSONNEL SERVICES,Materials Mgmt Ofc,03/20/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028488
5400028478,STC EMERGENCY CLEAN UP AND RESTORATION,Materials Mgmt Ofc,09/25/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028478
5400028457,SMALL SOFTWARE APPLICATION DEVELOPMENT,Materials Mgmt Ofc,05/16/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028457
5400028145,SC HOUSING RENT COMPARIBILITY STUDY,Materials Mgmt Ofc,08/16/2028 05:15:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028145
5400028129,WEB-BASED SOFTWARE FOR SC HOUSING,Materials Mgmt Ofc,03/04/2026 03:45:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028129
5400028028,TRANSPORTATION SERVICES - DSS,Materials Mgmt Ofc,07/02/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400028028
5400027985,CRCF FOR PATIENTS @ HIGH RISK FOR HOSP,Mental Health,10/10/2029 05:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027985
5400027975,REQUEST FOR FCC APPROVED CIS PROVIDERS,Materials Mgmt Ofc,04/24/2030 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027975
5400027950,RELATIVITY SOFTWARE AND EDISCOVERY,Materials Mgmt Ofc,03/18/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027950
5400027918,EVENT RENTAL EQUIPMENT AND SUPPLIES,Gov School for Science & Math,03/04/2027 12:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027918
5400027907,THIRD PARTY CONSULTING,Materials Mgmt Ofc,08/01/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027907
5400027837,STARLINK INSTALLATION SERVICES,Materials Mgmt Ofc,12/01/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027837
5400027795,PARENT ADVISOR SERVICES,Materials Mgmt Ofc,09/03/2029 11:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027795
5400027605,APS TEMPORARY STABILIZATION BEDS,Social Services,02/02/2030 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027605
5400027292,QUALIFIED INSTRUCTORS FOR TRAINING,Materials Mgmt Ofc,06/01/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027292
5400027291,ADVISORY & ADVOCACY SERVICES AS NEEDED,SC State University,12/12/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027291
5400027281,STATE VEHICLE BODY REPAIRS,Materials Mgmt Ofc,03/03/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027281
5400027275,MAINTENANCE AND REPAIR OF STATE VEHICLES,Materials Mgmt Ofc,06/15/2027 11:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027275
5400027172,PRE-ETS AUTISM SERVICES WITH ASD,Materials Mgmt Ofc,02/01/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027172
5400027157,STC BUILDING INSPECTION SERVICES,Materials Mgmt Ofc,12/15/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400027157
5400026997,MODERATE GROUP CARE FOR FOSTER CHILDREN,Materials Mgmt Ofc,08/01/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026997
5400026996,ENHANCED GROUP CARE FOR FOSTER CHILDREN,Materials Mgmt Ofc,07/01/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026996
5400026980,STC FOR VEHICLES,Materials Mgmt Ofc,09/01/2026 05:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026980
5400026866,HEARING OFFICER,Housing Authority,06/16/2028 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026866
5400026773,STC HIGH INTENSITY TUTORING SERVICES,Materials Mgmt Ofc,07/14/2029 12:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026773
5400026739,ASSESSMENT CONVERSION SERVICES ORDA,Education,05/29/2026 01:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026739
5400026677,FILM SCOUT SERVICES,"Parks, Recreation & Tourism",04/23/2029 03:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026677
5400026676,ENHANCED CRCF NURSING HOME BEDS,Mental Health,04/28/2028 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026676
5400026631,CRCF OLMSTEAD FUNDING,Mental Health,10/31/2028 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026631
5400026610,DJJ TEEN AFTER-SCHOOL CENTERS (TASC),Materials Mgmt Ofc,06/10/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026610
5400026592,STC TEMPORARY MEDICAL SERVICES,Materials Mgmt Ofc,11/17/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026592
5400026519,SUPPLEMENTARY SECURITY GUARD SERVICES,SC State University,12/01/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026519
5400026507,PRE-ETS AUTISM SERVICES WITH ASD,Materials Mgmt Ofc,01/31/2027 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026507
5400026429,"ASBESTOS,LEAD PAINT,MOLD COLLECT&TESTING",Materials Mgmt Ofc,05/19/2029 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026429
5400026331,BOAT SLIIP PERMIT CONTRACT,"Parks, Recreation & Tourism",04/23/2029 03:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026331
5400026254,TRACEABLE TEMPORARY LICENSE PLATES,Motor Vehicles,02/28/2028 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026254
5400026173,FAMILY RESOURCE AND PRESERVATION  SERVIC,Materials Mgmt Ofc,06/01/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400026173
5400025904,PCAS AND CNAS FOR CHILDREN IN DSS CARE,Materials Mgmt Ofc,06/01/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025904
5400025777,STC - HP - POLY VIDEO CONFERENCING EQUIP,Materials Mgmt Ofc,12/27/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025777
5400025740,RESIDENTIAL SERVICES FOR CHILDREN,Materials Mgmt Ofc,03/20/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025740
5400025679,DOMESTIC VIOLENCE AND SUBSTANCE ABUSE SE,Materials Mgmt Ofc,04/01/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025679
5400025616,STC TRAFFIC CONTROL DEVICES,Materials Mgmt Ofc,09/16/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025616
5400025580,SC HOUSING CONSULTING SERVICES,Housing Authority,08/08/2026 03:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025580
5400025575,INTERPRETER SERVICES FOR DEAF AND HARD..,Mental Health,06/30/2028 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025575
5400025374,QUALIFIED RESIDENTIAL TREATMENT PROGRAM,Social Services,08/23/2028 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025374
5400025277,STC LAW ENFORCEMENT PSYCH EVALUATIONS,Materials Mgmt Ofc,03/31/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025277
5400025249,SCDPPPS SEX OFFENDER TREATMENT,"Probation, Parole and Pardon",05/01/2028 09:30:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025249
5400025040,GRANT EVALUATION SERVICES,Tech and Comp Ed,04/24/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025040
5400025001,SECONDARY CLEANING SERVICES,Materials Mgmt Ofc,01/13/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400025001
5400024992,STC- IT TEMPORARY STAFF AUGMENTATION SVS,Materials Mgmt Ofc,02/01/2028 04:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024992
5400024833,FPB AGILE TEAM SUPPORT  FOR MES,Health and Human Svcs,10/17/2027 04:15:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024833
5400024832,ORACLE PEOPLESOFT CONSULTANT SERVICES,Materials Mgmt Ofc,02/15/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024832
5400024609,QUALIFIED PROVIDERS LIHTC MARKET STUDIES,Housing Authority,01/23/2027 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024609
5400024561,FPB -ONLINE PROCTORING SERVICES,Tech and Comp Ed,10/11/2027 04:45:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024561
5400024252,ELLUCIAN ERP IT CONSULTANTS,Materials Mgmt Ofc,12/31/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024252
5400024199,STC AUTOMOTIVE PARTS,Materials Mgmt Ofc,12/01/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400024199
5400023893,COMMUNITY HOUSING DEVELOPMENT SERVICES,Materials Mgmt Ofc,02/01/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023893
5400023891,EXAMINATIONS OF INSURANCE COMPANIES,Materials Mgmt Ofc,10/05/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023891
5400023768,AMERICAN SIGN LANGUAGE INTERPRETERS,Social Services,09/19/2027 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023768
5400023720,PROPERTY AND CASUALTY CLAIMS ADJUSTERS,Materials Mgmt Ofc,09/24/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023720
5400023597,HOSPITAL INPATIENT BED DAYS,Mental Health,07/14/2027 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023597
5400023482,STC DEBT COLLECTION SERVICES,Materials Mgmt Ofc,09/14/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023482
5400023441,STC PALO ALTO PRODUCTS & SERVICES,Materials Mgmt Ofc,06/18/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023441
5400023390,EXAMINATIONS OF INSURANCE COMPANIES,Materials Mgmt Ofc,08/02/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023390
5400023347,BILLBOARDS (PANEL AND DIGITAL),Materials Mgmt Ofc,06/29/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023347
5400023299,FOSTER/ADOPTION ASSESSMENT SERVICES,Materials Mgmt Ofc,10/04/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023299
5400023278,THIRD PARTY CONSULTING SERVICES,Materials Mgmt Ofc,12/18/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023278
5400023190,MEDICAID DATA CONSULTING SERVICES,Health and Human Svcs,12/06/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023190
5400023180,IN-STATE/ OUT-OF-STATE PROCESS SERVICE,Materials Mgmt Ofc,02/16/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400023180
5400022913,FPB HEARING OFFICERS,Health and Human Svcs,10/12/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022913
5400022864,LINEN AND LAUNDRY SERVICES,Materials Mgmt Ofc,12/18/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022864
5400022814,FPB   WHOLESALE SEAFOOD DEALERS,Natural Resources,03/16/2027 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022814
5400022806,VIRTUAL SOFTWARE TRAINING,Materials Mgmt Ofc,11/18/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022806
5400022783,"VOIP, CALL CENTER, AND IVR SERVICES",DTO,09/28/2028 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022783
5400022763,TOWING SERVICES FOR SCDE BUS SHOPS,Education,04/05/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022763
5400022592,TELECOMMUNICATIONS-BROADBAND CONSULTING,Materials Mgmt Ofc,01/27/2027 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022592
5400022579,AGING SERVICES INFORMATION SYSTEM (ASIS),Materials Mgmt Ofc,04/11/2030 05:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022579
5400022052,HOMESHARE RESIDENTIAL SERVICES,Materials Mgmt Ofc,06/30/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400022052
5400021452,DSS STATE VEHICLES CAR WASH,Social Services,06/01/2026 05:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400021452
5400020814,PRODUCTION CREW FOR FILM/TELEVSION.,Materials Mgmt Ofc,05/23/2026 12:15:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400020814
5400020743,PARI SERVICES,Materials Mgmt Ofc,06/30/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400020743
5400020720,UNDERWRITING REVIEWS FOR SC HOUSING MORT,Housing Authority,09/03/2027 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400020720
5400019475,EVENT GROUNDS MAINT-ARSENAL HILL-REBID,"Parks, Recreation & Tourism",04/20/2099 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400019475
5400019471,SOIL INJECTION HERBICIDE APPL.-CHERAW SP,"Parks, Recreation & Tourism",04/20/2099 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400019471
5400019196,DIRECT SUPPORT PROFESSIONALS,Materials Mgmt Ofc,03/21/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400019196
